unix,low,high,open,close,volume,date,vol_fiat
1611100800,2.6444,2.9496,2.8723,2.8772,4913515.79,2021-01-20,14137167.630988002
1611014400,2.8724,3.22,3.0346,2.8731,6922518.64,2021-01-19,19889088.304584
1610928000,2.845,3.1175,2.9726,3.0342,5120896.85,2021-01-18,15537825.222269997
1610841600,2.6851,3.1136,2.853,2.9738,6827360.01,2021-01-17,20303203.197738
1610755200,2.6904,3.1882,2.7064,2.854,13772368.03,2021-01-16,39306338.35762
1610668800,2.4458,2.9,2.5535,2.7064,10493912.86,2021-01-15,28400725.764303997
1610582400,2.4061,2.6275,2.5011,2.554,5837520.16,2021-01-14,14909026.48864
1610496000,2.2276,2.5022,2.2946,2.4995,4000042.52,2021-01-13,9998106.27874
1610409600,2.1947,2.4521,2.3299,2.2945,4928892.93,2021-01-12,11309344.827885
1610323200,2.0583,2.7708,2.7662,2.3299,13918777.87,2021-01-11,32429360.559312996
1610236800,2.3918,2.9511,2.6481,2.763,11744244.67,2021-01-10,32449348.02321
1610150400,2.418,2.6984,2.458,2.6473,4621959.34,2021-01-09,12235712.960781999
1610064000,2.25,2.5737,2.54,2.4573,6237891.71,2021-01-08,15328371.298983
1609977600,2.405,2.8,2.654,2.5369,9245437.41,2021-01-07,23454750.165429004
1609891200,2.2972,2.7455,2.3841,2.654,9441602.35,2021-01-06,25058012.636899997
1609804800,2.1361,2.4623,2.3273,2.3824,7518110.87,2021-01-05,17911147.336688
1609718400,2.0158,2.3645,2.1371,2.3297,9386577.67,2021-01-04,21867909.997798998
1609632000,1.9538,2.23,2.0016,2.138,7415643.44,2021-01-03,15854645.67472
1609545600,1.95,2.06,2.0129,2.0012,4737231.52,2021-01-02,9480147.717823999
1609459200,1.976,2.1329,2.0121,2.015,4329993.16,2021-01-01,8724936.217400001
1609372800,1.9397,2.0238,1.9893,2.0122,2420824.29,2020-12-31,4871182.636338
1609286400,1.9591,2.0751,2.0404,1.9907,2835359.34,2020-12-30,5644349.838137999
1609200000,1.9777,2.1729,2.1203,2.0403,4743004.6,2020-12-29,9677152.285379998
1609113600,1.9831,2.2471,2.0026,2.121,3681522.18,2020-12-28,7808508.54378
1609027200,1.879,2.1446,1.9778,2.0026,4639582.8,2020-12-27,9291228.51528
1608940800,1.9252,2.048,2.0281,1.978,2701080.51,2020-12-26,5342737.248779999
1608854400,1.9775,2.1148,2.0599,2.0275,2943698.9,2020-12-25,5968349.519749999
1608768000,1.7943,2.0844,1.8794,2.0595,5107070.82,2020-12-24,10518012.35379
1608681600,1.6,2.2013,2.1826,1.8805,5955079.8,2020-12-23,11198527.5639
1608595200,2.0778,2.1952,2.1775,2.1825,2331586.26,2020-12-22,5088687.012449999
1608508800,2.1231,2.3137,2.2692,2.178,2588127.31,2020-12-21,5636941.28118
1608422400,2.238,2.3609,2.327,2.27,2227114.24,2020-12-20,5055549.3248000005
1608336000,2.303,2.3935,2.33,2.327,2107603.05,2020-12-19,4904392.29735
1608249600,2.2563,2.3474,2.2987,2.33,2023063.17,2020-12-18,4713737.1861
1608163200,2.2724,2.4384,2.3736,2.2997,4209212.96,2020-12-17,9679927.044112
1608076800,2.2001,2.3776,2.2328,2.3694,2482674.9,2020-12-16,5882449.90806
1607990400,2.1817,2.26,2.2259,2.2325,1206298.6,2020-12-15,2693061.6245
1607904000,2.1751,2.2672,2.2306,2.224,1293216.29,2020-12-14,2876113.0289600003
1607817600,2.127,2.2705,2.1366,2.2306,1570733.99,2020-12-13,3503679.2380939997
1607731200,2.0714,2.1612,2.0796,2.1361,1622916.95,2020-12-12,3466712.896895
1607644800,2.044,2.1146,2.1098,2.0796,1330046.97,2020-12-11,2765965.678812
1607558400,2.076,2.1853,2.1765,2.1059,941286.38,2020-12-10,1982254.9876420002
1607472000,2.0368,2.1998,2.1525,2.1762,2874390.61,2020-12-09,6255248.845482
1607385600,2.1,2.3631,2.2754,2.1536,2906855.11,2020-12-08,6260203.164895999
1607299200,2.2272,2.3278,2.3269,2.2761,1270745.97,2020-12-07,2892344.902317
1607212800,2.2549,2.3418,2.3273,2.3244,1566517.94,2020-12-06,3641214.2997359997
1607126400,2.2401,2.3341,2.2737,2.3271,955401.73,2020-12-05,2223315.365883
1607040000,2.2223,2.4358,2.4031,2.2783,2546640.01,2020-12-04,5802009.9347830005
1606953600,2.3768,2.4536,2.389,2.4055,1816389.94,2020-12-03,4369326.00067
1606867200,2.289,2.4163,2.327,2.3946,1451820.37,2020-12-02,3476529.058002
1606780800,2.205,2.5543,2.4949,2.3275,4017645.76,2020-12-01,9351070.5064
1606694400,2.3325,2.5642,2.3669,2.4949,3240181.55,2020-11-30,8083928.949095
1606608000,2.2743,2.4398,2.3208,2.3669,2040675.69,2020-11-29,4830075.290661
1606521600,2.207,2.4361,2.2545,2.323,2534728.42,2020-11-28,5888174.119659999
1606435200,2.155,2.3403,2.2487,2.2526,3592619.54,2020-11-27,8092734.775804001
1606348800,2.1011,2.6629,2.596,2.2486,12011267.81,2020-11-26,27008536.797566004
1606262400,2.4772,2.9719,2.6733,2.5995,11006790.63,2020-11-25,28612152.242685
1606176000,2.49,2.8338,2.6262,2.6767,8604213.83,2020-11-24,23030899.158761
1606089600,2.2702,2.6694,2.2823,2.6228,6934922.75,2020-11-23,18188915.388699997
1606003200,2.1552,2.4397,2.3983,2.2823,4456795.92,2020-11-22,10171745.328216001
1605916800,2.056,2.4,2.1072,2.395,7568233.37,2020-11-21,18125918.92115
1605830400,2.064,2.1547,2.0796,2.1089,2726563.15,2020-11-20,5750049.027035001
1605744000,2.0219,2.1454,2.0903,2.0779,2266648.72,2020-11-19,4709869.375288
1605657600,2.0134,2.1921,2.1461,2.0907,3316347.04,2020-11-18,6933486.756528
1605571200,2.0722,2.1572,2.0845,2.1473,2378785.02,2020-11-17,5107965.073446
1605484800,1.998,2.1005,2.0157,2.0834,1810247.36,2020-11-16,3771469.3498240006
1605398400,1.9817,2.1128,2.1003,2.0146,1561173.49,2020-11-15,3145140.1129540005
1605312000,2.054,2.1652,2.1551,2.1002,1254047.4,2020-11-14,2633750.34948
1605225600,2.0667,2.1577,2.0758,2.155,1777142.77,2020-11-13,3829742.6693499996
1605139200,2.0462,2.155,2.1253,2.0758,1696876.17,2020-11-12,3522375.553686
1605052800,2.1126,2.2,2.1531,2.1261,2016885.04,2020-11-11,4288099.283544
1604966400,2.097,2.1911,2.1189,2.1521,2279161.96,2020-11-10,4904984.454116
1604880000,2.025,2.1585,2.0872,2.118,1882674.49,2020-11-09,3987504.56982
1604793600,1.9716,2.1588,2.018,2.0876,1990723.11,2020-11-08,4155833.5644360003
1604707200,1.9511,2.2223,2.0969,2.0194,4835737.98,2020-11-07,9765289.276812002
1604620800,1.87,2.1015,1.885,2.0952,4256823.89,2020-11-06,8918897.414328
1604534400,1.8195,1.9798,1.8791,1.886,2902451.16,2020-11-05,5474022.88776
1604448000,1.7845,1.91,1.8727,1.877,2138133.58,2020-11-04,4013276.72966
1604361600,1.8076,1.9155,1.8953,1.8711,1714201.02,2020-11-03,3207441.528522
1604275200,1.8786,2.071,1.9952,1.8937,1252337.66,2020-11-02,2371551.826742
1604188800,1.934,2.0122,1.9754,1.9961,1079928.43,2020-11-01,2155645.1391229997
1604102400,1.8961,2.0223,1.9068,1.9783,1473907.2,2020-10-31,2915830.6137599996
1604016000,1.7969,1.9679,1.9351,1.9068,2835492.7,2020-10-30,5406717.48036
1603929600,1.8973,2.0511,2.0028,1.9359,1668751.89,2020-10-29,3230536.7838509995
1603843200,1.9415,2.1178,2.0905,2.0028,2510340.57,2020-10-28,5027710.093596
1603756800,2.0635,2.1339,2.0896,2.0904,2211715.41,2020-10-27,4623369.893064
1603670400,2.059,2.1842,2.1681,2.0899,1346758.43,2020-10-26,2814590.442857
1603584000,2.1565,2.25,2.222,2.167,1059350.47,2020-10-25,2295612.46849
